        中文名         	         评分         	         作者         	         简介         
      从你的全世界路过      	        7.1         	        张嘉佳         	   戳中了现代人的某些柔软之处    
       悲伤逆流成河       	        6.2         	        郭敬明         	      少年不识愁滋味       
         恶意         	        8.4         	      [日] 东野圭吾      	     无缘由的恨，冰冷彻骨     
        天龙八部        	        9.1         	         金庸         	    “有情皆孽，无人不冤”     
        放学后         	        7.6         	      [日]东野圭吾       	      东野圭吾处女作       
Harry Potter and the Deathly Hallows	        8.9         	    J.K.Rowling     	   final episode    
        长安乱         	        7.4         	         韩寒         	     韩少也会借古喻今了      
     哈利·波特与混血王子     	        8.8         	    [英] J. K. 罗琳    	  感情线纷乱的一部。再见邓布利多   
      一个人的好天气       	        7.6         	      [日] 青山七惠      	      冬日暖阳的温煦感      
       苏菲的世界        	        8.5         	     （挪威）乔斯坦·贾德     	     最平易近人的哲学入门     
       许三观卖血记       	        8.7         	         余华         	  余华的悲凉，都在那一碗炒猪肝里了  
   1995-2005夏至未至    	        7.3         	        郭敬明         	      当青春遁入歧途       
       撒哈拉的故事       	        9.0         	         三毛         	      关于漂泊的一切       
        盗墓笔记        	        8.3         	        南派三叔        	    想象奇诡的大型RPG游戏    
      霍乱时期的爱情       	        9.0         	  [哥伦比亚] 加西亚·马尔克斯   	    义无反顾地直达爱情的核心    
     哈利·波特与凤凰社      	        8.7         	    [英] J. K. 罗琳    	       暴脾气的哈利       
         喜宝         	        8.1         	         亦舒         	     爱情才是终极的奢侈品     
        岛上书店        	        7.6         	      [美] 加·泽文      	      爱书的人从不孤独      
     三生三世 十里桃花      	        7.9         	        唐七公子        	      大风刮过有话要说      
       海边的卡夫卡       	        8.1         	      [日] 村上春树      	 背负诅咒的少年，平行世界中的奥德赛  
        文化苦旅        	        7.7         	        余秋雨         	      “历史文化散文”      
       基督山伯爵        	        9.0         	        大仲马         	完美的复仇，金庸用法语写作应该就是这样 
       窗边的小豆豆       	        8.7         	     [日] 黑柳彻子 著     	     真正懂孩子的教育经      
     三国演义（全二册）      	        9.2         	      [明] 罗贯中       	      是非成败转头空       
        黄金时代        	        8.8         	        王小波         	能把性爱写得如此坦荡的，大概只有王二了 
       追风筝的人        	        8.9         	    [美] 卡勒德·胡赛尼     	      为你，千千万万遍      
        小王子         	        9.0         	     [法] 圣埃克苏佩里     	    献给长成了大人的孩子们     
         围城         	        8.9         	        钱锺书         	 对于“人艰不拆”四个字最彻底的违抗  
       解忧杂货店        	        8.6         	      [日] 东野圭吾      	 一碗精心熬制的东野牌鸡汤，拒绝很难  
         活着         	        9.1         	         余华         	   活着本身就是人生最大的意义    
        白夜行         	        9.1         	      [日] 东野圭吾      	暗夜独行的残破灵魂，爱与恶本就难分难舍 
       挪威的森林        	        8.0         	      [日] 村上春树      	   村上之发轫，多少人的青春启蒙   
      嫌疑人X的献身       	        8.9         	      [日] 东野圭吾      	    数学好是一种极致的浪漫     
         三体         	        8.8         	        刘慈欣         	      你我不过都是虫子      
     不能承受的生命之轻      	        8.5         	    [捷克] 米兰·昆德拉     	    朝向媚俗的一次伟大的进军    
        红楼梦         	        9.6         	     [清] 曹雪芹 著      	       谁解其中味？       
      梦里花落知多少       	        7.1         	        郭敬明         	     只是青春留下的余烬      
       达·芬奇密码       	        8.2         	      [美] 丹·布朗      	     一切畅销的因素都有了     
         看见         	        8.8         	         柴静         	      在这里看见中国       
        百年孤独        	        9.2         	  [哥伦比亚] 加西亚·马尔克斯   	尼采所谓的永劫复归，一场无始无终的梦魇 
   1988：我想和这个世界谈谈   	        7.9         	         韩寒         	     车手韩寒的公路小说      
       何以笙箫默        	        7.8         	         顾漫         	    倒追有风险，入行需谨慎     
     平凡的世界（全三部）     	        9.0         	         路遥         	     中国当代城乡生活全景     
      简爱（英文全本）      	        8.5         	    [英] 夏洛蒂·勃朗特     	      灰姑娘在十九世纪      
     哈利·波特与魔法石      	        9.0         	    [英] J. K. 罗琳    	     羽加迪姆勒维奥萨！      
        白夜行         	        9.2         	        东野圭吾        	        封面剧透        
        三体Ⅱ         	        9.3         	        刘慈欣         	 无边的黑暗森林，比第一部更为恢弘壮丽 
         飘          	        9.3         	   [美国] 玛格丽特·米切尔    	    革命时期的爱情，随风而逝    
       送你一颗子弹       	        8.6         	         刘瑜         	   犀利又温柔，穿过胸口隐隐作痛   
        三体Ⅲ         	        9.2         	        刘慈欣         	      终章，何去何从       
        彼岸花         	        7.8         	        安妮宝贝        	 安妮宝贝第一部长篇，现实与虚构的重合 
         西决         	        7.9         	         笛安         	    无关风月的非典型青春小说    
      东方快车谋杀案       	        9.0         	    [英] 阿加莎·克里斯蒂    	  谋杀诡计惊人，波洛的抉择耐人寻味  
       挪威的森林        	        8.5         	      [日] 村上春树      	 初读是色情，再读是爱情，三读是世情  
     这些都是你给我的爱      	        8.4         	       文：安东尼        	      只言片语的温暖       
      这些人，那些事       	        8.8         	        吴念真         	     平淡叙述下的惊心动魄     
        八月未央        	        7.5         	        安妮宝贝        	  八月是一阵季风，生命是一场幻觉   
    当我谈跑步时我谈些什么     	        8.1         	      [日] 村上春树      	 村上同志告诉我们，身体是革命的本钱  
     明朝那些事儿（贰）      	        8.9         	        当年明月        	    万国来朝与北京保卫战，燃    
        清醒纪         	        7.9         	        安妮宝贝        	  遗忘就和记得一样是送给彼此的纪念  
     一个陌生女人的来信      	        8.7         	    [奥] 斯台芬·茨威格     	       暗恋的极致        
      蔡康永的说话之道      	        7.1         	       蔡康永 著        	    会说话的人运气都不会太差    
       偷影子的人        	        7.8         	      (法)马克·李维      	     为偷来的影子找到光芒     
     陪安东尼度过漫长岁月     	        8.3         	        安东尼         	      真正的片段式写作      
       沉默的大多数       	        9.1         	        王小波         	     沉默是沉默者的通行证     
        白鹿原         	        8.6         	        陈忠实         	       中国乡村史诗       
      芒果街上的小屋       	        7.8         	   [美国] 桑德拉·希斯内罗丝   	     那些微尘般漂浮的生活     
        羊脂球         	        8.1         	       （法）莫泊桑       	     资产阶级的道貌岸然      
       鲁滨逊漂流记       	        8.0         	       [英] 笛福       	      最早的荒野求生       
       灌篮高手31       	        9.5         	      [日] 井上雄彦      	        全剧终         
       撒哈拉的故事       	        9.2         	         三毛         	      游荡的自由灵魂       
       巴黎圣母院        	        8.3         	       [法]雨果        	    潜藏于残缺下的美与崇高     
       肖申克的救赎       	        9.1         	     [美] 斯蒂芬·金      	   希望让人自由，电影实在太有名   
      麦田里的守望者       	        8.1         	   [美国] J. D. 塞林格   	     反英雄霍尔顿的一生      
        无声告白        	        8.2         	      [美] 伍绮诗       	   莉迪亚死了，可他们还不知道    
        悟空传         	        8.4         	        今何在         	猴子还是那个猴子，世界早已不是原来的世界
       兄弟（上）        	        8.3         	         余华         	     历史苦难中的个人灾变     
        呼啸山庄        	        8.4         	      艾米莉·勃朗特       	 近乎暴虐的爱与恨，中文译名后无来者  
     笑傲江湖（全四册）      	        9.0         	         金庸         	    武侠的壳，政治斗争的核     
       少有人走的路       	        8.4         	    [美] M·斯科特·派克    	   成熟的心智通向更完善的自我    
       民主的细节        	        8.6         	         刘瑜         	       公民养成手册       
       亲爱的安德烈       	        8.7         	        龙应台         	  龙应台母子对话，两代人的思想碰撞  
        灿烂千阳        	        8.8         	    [美] 卡勒德·胡赛尼     	    唯有希望与爱可以驱散阴霾    
        老人与海        	        8.3         	        海明威         	    正是悲壮赋予生活以意义     
      遇见未知的自己       	        8.1         	        张德芬         	       都市灵修速成       
     一九八四·动物农场      	        9.3         	     [英] 乔治·奥威尔     	一个预言和一个寓言，令人窒息的政治恐怖 
      牧羊少年奇幻之旅      	        8.6         	     [巴西]保罗·柯艾略     	     你自己就是最大的宝藏     
   福尔摩斯探案全集（上中下）    	        9.2         	     [英] 阿·柯南道尔     	       侦探小说鼻祖       
     小时代1.0折纸时代     	        6.5         	        郭敬明         	    温习了很多奢侈品品牌名称    
        洛丽塔         	        7.7         	   [美] 弗拉基米尔·纳博科夫   	   我的生命之光，我的欲望之火    
        百年孤独        	        8.9         	  [哥伦比亚] 加西亚·马尔克斯   	       拉丁美洲圣经       
    1Q84 BOOK 2     	        8.4         	      [日] 村上春树      	   情节铺展渐次清明，高潮序曲    
        素年锦时        	        7.8         	        安妮宝贝        	     呢喃自语，清简自持      
         情书         	        8.6         	      [日] 岩井俊二      	一场误会中的两段爱情，东方式的含蓄隐忍 
      第一次的亲密接触      	        7.4         	        蔡智恒         	  那时候，去麦当劳约会还很高端……  
        神雕侠侣        	        8.8         	         金庸         	     至情至性，情大于武      
        一座城池        	        7.4         	         韩寒         	    可能是韩寒最好笑的小说     
        茶花女         	        8.2         	        小仲马         	     妓女应当拥有爱情吗？     
      麦田里的守望者       	        7.9         	   [美国] J. D. 塞林格   	  塞林格的麦田里，到处是坠落的青春  
        他的国         	        7.5         	         韩寒         	   总有光芒将你引导到清澈的地方   
     天才在左 疯子在右      	        8.2         	         高铭         	     简称“疯癫与文明”      
       傲慢与偏见        	        8.8         	      [英] 奥斯丁       	    所有现代言情小说的母体     
        倾城之恋        	        8.5         	        张爱玲         	  一段姻缘，需要一座城的倾覆来成全  
        三重门         	        7.4         	         韩寒         	    “我是金子，我要发光的”    
       杜拉拉升职记       	        7.8         	         李可         	      职场丛林生存手册      
     明朝那些事儿（壹）      	        8.7         	        当年明月        	  历史本就是一件件“事儿”拼成的   
   哈利·波特与阿兹卡班的囚徒    	        8.9         	    [英] J. K. 罗琳    	      小天狼星布莱克       
         目送         	        8.7         	        龙应台         	        不必追         
         情人         	        8.1         	    [法] 玛格丽特·杜拉斯    	     我已经老了，你呢？      
      哈利·波特与密室      	        8.9         	    [英] J. K. 罗琳    	   渐入佳境，魔法世界全貌初现    
       万历十五年        	        8.9         	      [美] 黄仁宇       	    见微知著，历史观的颠覆     
        我们仨         	        8.7         	         杨绛         	      平淡，坚忍，温情      
         幻城         	        7.0         	        郭敬明         	 如今的小四已经无法评价，往事犹可追  
     致我们终将逝去的青春     	        7.8         	        辛夷坞         	 青春总是用残忍的方式提醒你它已退场  
    1Q84 BOOK 1     	        8.3         	      [日] 村上春树      	  村上的野望，欢迎来到1Q84年   
        狼图腾         	        8.3         	         姜戎         	     我们都是 狼的传人？     
      微微一笑很倾城       	        8.0         	         顾漫         	      一场盛大的意淫       
      独唱团（第一辑）      	        7.8         	       韩寒 主编        	    独唱的人多了，也便成了团    
         莲花         	        8.0         	        安妮宝贝        	    三个生命的交逢，灵魅清冷    
     哈利·波特与火焰杯      	        9.0         	    [英] J. K. 罗琳    	   整个系列的分水岭，暗色渐浓    
         边城         	        8.6         	        沈从文         	     如水一般的忧愁与怅惘     
       月亮和六便士       	        9.0         	       [英] 毛姆       	有多少人会经历顿悟，就有更少的人甘愿自我放逐
      向左走·向右走       	        8.4         	         幾米         	     两条平行线相遇的可能     
         活着         	        9.3         	         余华         	      生的苦难与伟大       
       穆斯林的葬礼       	        8.2         	         霍达         	    时代烙印鲜明的民族史诗     
